;cal_beta_ndfi
1;0.531468531
2;0.615384615
3;0.685314685
4;0.755244755
5;0.832167832
6;0.867132867
7;0.895104895
8;0.909090909
9;0.909090909
10;0.895104895
11;0.895104895
12;0.895104895
13;0.902097902
14;0.902097902
15;0.895104895
16;0.888111888
17;0.888111888
18;0.881118881
19;0.874125874
20;0.874125874
21;0.853146853
22;0.832167832
23;0.832167832
24;0.825174825
25;0.818181818
26;0.818181818
27;0.811188811
28;0.804195804
29;0.797202797
30;0.776223776
31;0.748251748
32;0.741258741
33;0.741258741
34;0.72027972
35;0.713286713
36;0.692307692
37;0.678321678
38;0.671328671
39;0.657342657
40;0.643356643
